,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentschoolSatisfaction,StudentAbsenceDays,Class,Discussion-Binned
0,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.15,0.16161616161616163,2,20,Good,0,M,Low
1,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.2,0.20202020202020202,3,25,Good,0,M,Low
2,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.1,0.0707070707070707,0,30,Bad,1,L,Low
3,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.3,0.25252525252525254,5,35,Bad,1,L,Medium
4,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.4,0.5050505050505051,12,50,Bad,1,M,Medium
5,F,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.42,0.30303030303030304,13,70,Bad,1,M,High
6,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.35,0.12121212121212122,0,17,Bad,1,L,Low
7,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.5,0.10101010101010101,15,22,Good,0,M,Low
8,F,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.12,0.21212121212121213,16,50,Good,0,M,Medium
9,F,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.7,0.8080808080808081,25,70,Good,0,M,High
10,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.5,0.8888888888888888,30,80,Good,0,H,High
11,M,KW,KuwaIT,MiddleSchool,5,B,Math,F,Father,0.19,0.06060606060606061,19,12,Good,0,M,Low
12,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.05,0.010101010101010102,0,11,Bad,1,L,Low
13,M,lebanon,lebanon,MiddleSchool,6,A,Math,F,Father,0.2,0.1414141414141414,12,19,Bad,1,L,Low
14,F,KW,KuwaIT,MiddleSchool,6,A,Math,F,Mum,0.62,0.7070707070707071,44,60,Bad,1,H,Medium
15,F,KW,KuwaIT,MiddleSchool,4,A,IT,F,Father,0.3,0.40404040404040403,22,66,Good,0,M,Medium
16,M,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.36,0.30303030303030304,20,80,Bad,1,M,High
17,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.55,0.13131313131313133,35,90,Bad,1,M,High
18,F,KW,KuwaIT,MiddleSchool,5,A,IT,F,Mum,0.46,0.15151515151515152,36,96,Good,0,M,High
